가게명,대분류,중분류,소분류,mean_score,주소,Latitude,Longitude
상춘재,식당,한식,"돌문어 비빔밥, 게장",4.1,제주특별자치도 제주시 조천읍 선진길 26,33.4586588,126.7048435
남양수산,식당,일식,"회, 고등어",4.6,제주특별자치도 서귀포시 성산읍 고성동서로56번길 11,33.4501348,126.9142244
선흘곶,식당,한식,정통 한정식,4.5,제주특별자치도 제주시 조천읍 동백로 102,33.5081874,126.718049
스시호시카이,식당,일식,"회, 초밥, 오마카세",4.6,제주특별자치도 제주시 오남로 90,33.4812863,126.5167686
미영이네식당,식당,일식,"회, 고등어, 방어, 참치",4.5,제주특별자치도 서귀포시 대정읍 하모항구로 42,33.2176507,126.2499045
오드랑베이커리,카페,,,4.0,제주특별자치도 제주시 조천읍 조함해안로 552-3,33.5424691,126.6718069
송림반점,식당,중식,"정통 중식, 일반 중식",4.3,제주특별자치도 제주시 관덕로 2-1,33.5124146,126.5198134
피어22,식당,일식,"딱새우, 해산물",4.0,제주특별자치도 제주시 한림읍 금능7길 22 금능어촌계복지회관 잠녀의집,33.3899106,126.2278403
카페태희,카페,,,4.4,제주특별자치도 제주시 애월읍 곽지3길 27,33.4493508,126.3044233
커피파인더,카페,,,4.4,제주특별자치도 제주시 서광로32길 20,33.4985811,126.5287567
밀리우,식당,양식,"프랑스 음식, 스테이크",4.6,제주특별자치도 서귀포시 표선면 민속해안로 537 1F,33.3234478,126.8447796
엄마손횟집,식당,일식,"해산물, 회",4.5,제주특별자치도 제주시 연동3길 35,33.4866742,126.4881687
숙성도,식당,한식,흑돼지,4.4,제주특별자치도 서귀포시 일주서로 966,33.2584326,126.4353135
우진해장국,식당,한식,"고사리육개장, 몸국",4.4,제주특별자치도 제주시 서사로 11,33.5056978,126.5212945
명진전복,식당,한식,"전복, 돌솥밥, 해산물",4.4,제주특별자치도 제주시 구좌읍 해맞이해안로 1282,33.5324227,126.8498541
신산리마을카페,카페,,,4.4,제주특별자치도 서귀포시 성산읍 환해장성로 33,33.3873953,126.89172
곰막,식당,일식,"회, 해산물, 고등어",4.0,제주특별자치도 제주시 구좌읍 구좌해안로 64,33.556821,126.720503
국수만찬,식당,한식,고기국수,4.4,제주특별자치도 제주시 은남3길 1,33.4871347,126.4955611
중문수두리보말칼국수,식당,한식,칼국수,4.4,제주특별자치도 서귀포시 천제연로 190,33.2515765,126.4249651
천짓골식당,식당,한식,"돔베고기, 몸국, 수육",3.9,제주특별자치도 서귀포시 중앙로41번길 4,33.2482417,126.5613677
그리운바다성산포,식당,한식,"고등어, 갈치, 게장",4.4,제주특별자치도 서귀포시 성산읍 성산등용로 94,33.4697602,126.9300546
진아떡집,카페,,,4.1,제주특별자치도 제주시 동문로4길 7-1,33.5123688,126.5284577
애월리안,식당,양식,"이탈리아 음식, 해산물 스튜",4.4,제주특별자치도 제주시 애월읍 애원로 4,33.4640331,126.3198363
닻,식당,일식,"이자카야, 딱새우회",4.4,제주특별자치도 제주시 애월읍 가문동길 41-2,33.4860879,126.3921047
미친부엌,식당,중식,"정통중식, 초밥, 짬뽕",4.4,제주특별자치도 제주시 중앙로3길 4,33.5158227,126.5252682
더꽃돈,식당,한식,흑돼지,3.9,제주특별자치도 제주시 한림읍 한림로 328,33.3928191,126.2400862
운산식당,식당,한식,삼겹살,4.5,제주특별자치도 제주시 북성로 28,33.5159338,126.521961
넉둥베기,식당,한식,"한정식, 정통한식",4.5,제주특별자치도 제주시 서문로 9-1,33.5098237,126.512679
육고깃집,식당,한식,"고기요리, 삼겹살",4.2,제주특별자치도 제주시 한림읍 한림중앙로 34,33.411663,126.2651787
연리지가든,식당,한식,"고기요리, 삼겹살",4.3,제주특별자치도 제주시 한경면 두조로 190-20,33.3444986,126.2027639
상원가든,식당,한식,"갈비, 흑돼지",4.3,제주특별자치도 서귀포시 대정읍 송악관광로 132,33.2217486,126.2653741
TONKATSU 서황,식당,양식,"돈까스, 카츠요리",4.4,제주특별자치도 제주시 애월읍 장소로 205-2,33.4348196,126.3800658
하찌,식당,일식,"회, 스시",4.5,제주특별자치도 서귀포시 호근남로 180,33.2452489,126.5371404
표선어촌식당,식당,한식,"돔지리탕, 쥐치",4.3,제주특별자치도 서귀포시 표선면 민속해안로 578-7,33.3252433,126.8446185
범일분식,식당,한식,순대국밥,4.4,제주특별자치도 서귀포시 남원읍 태위로 658,33.2784057,126.7170064
비마이게스트,식당,양식,"버거, 샌드위치",4.3,제주특별자치도 제주시 한림읍 한림로 406 1F,33.3979874,126.2456107
제주약수터,식당,한식,"치킨, 호프",4.5,제주특별자치도 서귀포시 중앙로 35,33.2477094,126.5617231
도렐,카페,,,4.0,제주특별자치도 서귀포시 성산읍 동류암로 20,33.4500452,126.9184399
88돼지,식당,한식,"korean BBQ, 김치찌개, 흑돼지",3.9,제주특별자치도 제주시 제원길 7,33.4892185,126.4896524
칠돈가,식당,한식,"흑돼지, 근고기",3.8,제주특별자치도 제주시 남성로 43,33.5041319,126.5128129
춘심이네,식당,한식,"한정식, 생선구이, 백반",4.1,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16,33.2647393,126.3705871
오는정김밥,식당,한식,"김밥, 깻잎김밥",4.1,제주특별자치도 서귀포시 동문로 58,33.2493082,126.5665846
일통이반,식당,한식,"보말죽, 소주방",3.8,제주특별자치도 제주시 중앙로2길 19,33.5168537,126.5228957
마마롱,카페,,,4.4,제주특별자치도 제주시 애월읍 평화로 2783,33.4122084,126.393516
미남미녀,카페,,,4.5,제주특별자치도 서귀포시 색달중앙로55번길 22,33.260187,126.4123063
바그다드,식당,양식,"인도음식, 카레",4.4,제주특별자치도 제주시 서광로32길 38,33.4974851,126.5296932
맛나식당,식당,한식,"고등어, 갈치, 백반, 조림",4.0,제주특별자치도 서귀포시 성산읍 동류암로 41,33.4485794,126.9160712
친봉산장,카페,,,4.2,제주특별자치도 제주시 구좌읍 중산간동로 2281-3,33.4716199,126.7864197
어우늘,식당,한식,"전복요리, 게장, 전복죽",4.3,제주특별자치도 제주시 연북로 222,33.4810532,126.5049877
섭지코지로,식당,한식,"딱새우, 해산물",4.3,제주특별자치도 서귀포시 성산읍 섭지코지로 43,33.4385151,126.9214068
원더먼트제주 (휴업중),카페,,,4.2,제주특별자치도 제주시 조천읍 신북로 163,33.5386704,126.6458435
만선식당,식당,일식,"횟집, 고등어",3.9,제주특별자치도 서귀포시 대정읍 하모항구로 44,33.2178539,126.2499284
무거버거,식당,양식,"버거, 수제버거, 샌드위치",4.3,제주특별자치도 제주시 조천읍 조함해안로 356,33.5440366,126.6537771
포도호텔레스토랑,식당,한식,"백반, 우동, 새우튀김",4.5,제주특별자치도 서귀포시 안덕면 산록남로 863,33.3053535,126.3937346
제주맥주,식당,한식,"치킨, 호프",4.3,제주특별자치도 제주시 한림읍 금능농공길 62-11,33.3586429,126.2415545
뽈살집,식당,한식,"뽈살, 특수부위, 돼지고기",3.9,제주특별자치도 서귀포시 중정로91번길 37,33.2506684,126.5632005
우유부단,카페,,,3.8,제주특별자치도 제주시 한림읍 금악동길 38,33.3476411,126.3282653
더스푼,식당,양식,"이탈리아 음식, 파스타",4.4,제주특별자치도 제주시 구남동1길 45,33.4868872,126.5358543
맥파이 브루어리,식당,한식,"치킨, 호프, 피자, 피맥",4.3,제주특별자치도 제주시 동회천1길 23,33.5031946,126.6172668
서양차관,카페,,,4.3,제주특별자치도 서귀포시 보목포로 145,33.2420773,126.6160223
은희네해장국,식당,한식,"한식, 해장국, 탕, 전골",4.2,제주특별자치도 제주시 고마로13길 8,33.5085228,126.5408037
보롬왓 카페,카페,,,4.3,제주특별자치도 서귀포시 표선면 번영로 2350-104,33.4136187,126.7527705
No Lone Zone,카페,,,4.4,제주특별자치도 제주시 도령로 50 이화오피스텔 2F,33.4884031,126.4841476
제주돈아,식당,한식,"고기요리, 삼겹살",4.2,제주특별자치도 제주시 애월읍 중엄3길 65,33.4778891,126.3700125
시골길,식당,한식,"낙지볶음, 소면, 청국장",4.2,제주특별자치도 제주시 연동13길 9,33.4888428,126.494786
알동네집,식당,한식,"흑돼지, 고기요리",4.1,제주특별자치도 제주시 한경면 연명로 545,33.3166329,126.2675922
톰톰카레,식당,한식,"탕, 카레, 찌개, 전골",4.3,제주특별자치도 제주시 구좌읍 평대2길 39-28,33.5355012,126.8389739
경일낙지,식당,한식,"낙지볶음, 순두부, 해산물",4.2,제주특별자치도 제주시 다랑곶길 30,33.4884542,126.481045
민경이네어등포해녀촌,식당,한식,"한정식, 백반, 정통한식",4.3,제주특별자치도 제주시 구좌읍 행원로13길 131,33.5530908,126.8158105
이에르바,카페,,,4.3,제주특별자치도 제주시 조천읍 신촌남1길 33-8,33.5274997,126.6189404
미도리제주,식당,일식,정통일식,4.4,제주특별자치도 제주시 우령4길 5 1F,33.4883674,126.4304547
올래국수,식당,한식,"고기국수, 비빔국수",4.1,제주특별자치도 제주시 귀아랑길 24,33.4915004,126.4972966
수우동,식당,일식,"돈가스, 우동, 정통일식",4.0,제주특별자치도 제주시 한림읍 협재1길 11,33.3965751,126.2425147
카페가호,카페,,,4.2,제주특별자치도 제주시 애월읍 가문동상2길 35,33.484603,126.3906391
마라도횟집,식당,한식,"방어, 게장, 고등어",4.2,제주특별자치도 제주시 신광로8길 3,33.4868335,126.4895539
고등어쌈밥,식당,한식,"고등어, 매운탕, 백반",4.3,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 122-5,33.4494963,126.920717
이니스프리제주하우스,카페,,,4.2,제주특별자치도 서귀포시 안덕면 신화역사로 23,33.3063942,126.2905203
고로케야,식당,일식,"고로케, 치즈고로케",4.4,제주특별자치도 제주시 가령골2길 13-20,33.5045596,126.5392839
라스 또르따스,식당,양식,"남미음식, 부리토, 타코",4.3,제주특별자치도 제주시 애월읍 애월해안로 274 1F,33.4625363,126.3099376
만세국수,식당,한식,"국밥, 잔치국수, 고기국수",4.3,제주특별자치도 제주시 오라로 156,33.4942579,126.5192756
귤하르방,카페,,,4.1,제주특별자치도 제주시 동문로 16,33.511745,126.5352249
새빌카페,카페,,,4.2,제주특별자치도 제주시 애월읍 평화로 1529,33.3643469,126.3631334
마고,카페,,,4.3,제주특별자치도 서귀포시 표선면 민속해안로 537 1F,33.3234478,126.8447796
시스터필드,카페,,,4.2,제주특별자치도 서귀포시 월드컵로 8,33.2489574,126.5073438
해심가든,식당,한식,"고기요리, 생돼지갈비",4.2,제주특별자치도 서귀포시 천제연로 203-4,33.2519011,126.4266075
다소니,식당,한식,"한정식, 백반, 정통한식",4.2,제주특별자치도 제주시 오남로6길 18-6,33.4909145,126.5171385
골막식당,식당,한식,"고기국수, 수육",4.2,제주특별자치도 제주시 천수로 12,33.5024655,126.5384668
남춘식당,식당,한식,"김밥, 국수, 콩국수",4.2,제주특별자치도 제주시 청귤로 12,33.4996504,126.5375918
도토리키친,식당,일식,"라멘, 소바, 우동",4.3,제주특별자치도 제주시 북성로 59,33.5153851,126.5186671
남경미락,식당,일식,"다금바리, 해산물요리",3.8,제주특별자치도 서귀포시 안덕면 사계남로 190-7,33.2302184,126.3089494
평대스낵,식당,한식,"분식, 떡볶이",4.2,제주특별자치도 제주시 구좌읍 대수길 7,33.5354585,126.8393287
광동식당,식당,한식,"고기요리, 두루치기, 흑돼지",4.2,제주특별자치도 서귀포시 표선면 세성로 272,33.3291472,126.7983209
오전열한시,식당,한식,전복요리,4.2,제주특별자치도 서귀포시 상예로 248,33.2667236,126.3944186
섬오름해물라면,식당,한식,전복요리,4.1,제주특별자치도 제주시 조천읍 조함해안로 355-7,33.5498566,126.65593
호자,식당,일식,카츠요리,4.3,제주특별자치도 제주시 구좌읍 세화8길 7 1F,33.5214333,126.8575777
플레이스엉물,카페,,,4.2,제주특별자치도 제주시 구좌읍 종달논길 92,33.4925079,126.898571
광명식당,식당,한식,"순대, 순대국밥, 탕",4.1,제주특별자치도 제주시 동문로4길 9,33.5120807,126.5283388
소리원,식당,중식,"정통중식, 찹쌀탕수육",4.2,제주특별자치도 제주시 연동12길 37,33.4824446,126.4932441
비브레이브,카페,,,4.2,제주특별자치도 서귀포시 신서로48번길 66,33.2524682,126.5118522
파라토도스,식당,양식,"이탈리아 요리, 샹그리아",4.2,제주특별자치도 제주시 한림읍 금능길 87,33.3891272,126.2325092
삼영식당,식당,한식,"백반, 몸국",4.3,제주특별자치도 제주시 애월읍 일주서로 6748,33.466277,126.3511114
테라로사,카페,,,3.8,제주특별자치도 서귀포시 칠십리로658번길 27-16,33.2494603,126.6187916
유동커피,카페,,,4.0,제주특별자치도 서귀포시 태평로 406-2,33.2444906,126.5638992
블랑로쉐,카페,,,3.8,제주특별자치도 제주시 우도면 우도해안길 783,33.5074342,126.954269
풍림다방,카페,,,3.9,제주특별자치도 제주시 구좌읍 중산간동로 2254,33.4715735,126.7836232
리치망고,카페,,,4.1,제주특별자치도 제주시 애월읍 애월해안로 272,33.4782235,126.3665625
버터모닝,카페,,,4.2,제주특별자치도 제주시 애월읍 하광로 279,33.4621944,126.4227085
스시애월,식당,일식,"스시 오마카세, 회",4.3,제주특별자치도 제주시 애월읍 애월로9길 50-3,33.4665125,126.3193173
재연식당,식당,한식,"고등어구이, 갈치구이, 정통 한식",4.2,제주특별자치도 제주시 구좌읍 세화3길 27-2,33.526167,126.8560604
해월정,식당,한식,"보말칼국수, 국수",3.7,제주특별자치도 제주시 구좌읍 해맞이해안로 2284,33.4968452,126.9102077
덕인당,카페,,,4.1,제주특별자치도 제주시 조천읍 신촌2길 13,33.5318754,126.6188138
돌담너머바다,식당,한식,"전복요리, 문어파스타",4.1,제주특별자치도 제주시 한경면 일주서로 4533-19,33.3654338,126.1989556
바당봉봉,카페,,,4.2,제주특별자치도 제주시 구좌읍 해맞이해안로 1170,33.5346121,126.8397373
올댓제주,식당,한식,"흑돼지, 고로케, 감바스",4.2,제주특별자치도 제주시 중앙로1길 33 1층,33.5162354,126.5284396
씨리얼,카페,,,4.3,제주특별자치도 제주시 한림읍 명랑로 26 1F,33.414175,126.267655
살롱드라방,카페,,,4.3,제주특별자치도 제주시 애월읍 하가로 146-9,33.4578708,126.3490061
와랑와랑,카페,,,4.2,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 28,33.2723619,126.676564
닐모리동동,식당,양식,"이탈리아 음식, 먹물파스타",4.2,제주특별자치도 제주시 서해안로 452 오다펜션 1F,33.5176911,126.4877067
털보네고양이,식당,일식,"돈부리, 일식, 흑돼지",4.3,제주특별자치도 서귀포시 남원읍 태위로 381,33.2753832,126.6879596
봉주르마담,카페,,,4.2,제주특별자치도 서귀포시 대청로 33,33.2525789,126.50336
만월당,식당,한식,"전복요리, 전복리조또",4.2,제주특별자치도 제주시 구좌읍 월정1길 56,33.5561414,126.7930377
한라산,카페,,,4.2,제주특별자치도 제주시 구좌읍 면수1길 48,33.5247614,126.8629928
월정리로와,카페,,,4.1,제주특별자치도 제주시 구좌읍 해맞이해안로 472,33.5291668,126.8538817
솔지식당,식당,한식,"고기요리, 멜조림",4.2,제주특별자치도 제주시 신광로4길 31,33.4888132,126.4868802
941헤르츠,카페,,,3.9,제주특별자치도 제주시 원노형로 37 2F,33.4844845,126.4846156
카페록록,카페,,,4.2,제주특별자치도 제주시 구좌읍 하도서문길 41,33.528835,126.878953
카페세바,카페,,,4.3,제주특별자치도 제주시 조천읍 선흘동2길 20-9,33.5133995,126.7059905
